,S&P GSCI,GOLD,MSCI World
2009-09-03,9.423970786977364,,-1.6526833445910216
2009-09-04,9.433266453457968,,-1.7335015992221647
2009-09-08,9.705700887266989,,-1.4881035101307782
2009-09-09,9.804398678750026,,-1.3976198998629452
2009-09-10,9.796398550702756,,-1.3484283839534816
2009-09-11,9.573875995620163,,-1.3811532959011275
2009-09-14,9.572842709701801,,-1.3944514441990075
2009-09-15,9.91151616284398,,-1.3941356815330486
2009-09-16,10.363739786424041,,-1.2172023924287623
2009-09-17,10.294379815858235,,-1.2567389807740637
2009-09-18,10.163724236295435,,-1.3395270312602792
2009-09-21,9.686680710615004,,-1.4450759511147382
2009-09-22,9.86509562060669,,-1.3540111887715645
2009-09-23,9.639401330639409,,-1.4951286310395773
2009-09-24,9.498659641631324,,-1.6287304553739168
2009-09-25,9.342313997714102,,-1.7730324173474976
2009-09-28,9.17298529584254,,-1.6572683159795099
2009-09-29,9.190092496223645,,-1.6776759472225011
2009-09-30,9.437227805743298,,-1.635899105304428
2009-10-01,9.285624530285897,,-1.8644260747101127
2009-10-02,9.090316366043648,,-2.030947543255357
2009-10-05,9.275861013641261,,-1.97202444001231
2009-10-06,9.454468778432435,,-1.734028235138263
2009-10-07,9.349170872917378,,-1.570429523460981
2009-10-08,9.609632072957064,,-1.508144806676981
2009-10-09,9.710900962519053,,-1.5321538154835612
2009-10-12,9.998297686522427,,-1.63088040799505
2009-10-13,10.05187029261947,,-1.6946667016827233
2009-10-14,9.88922812407802,,-1.5095782499760513
2009-10-15,10.123317108536177,,-1.4362399120538716
2009-10-16,10.196337936651645,,-1.5566561335034979
2009-10-19,10.353874753196312,,-1.463831611934463
2009-10-20,10.254232434858856,,-1.488087908669633
2009-10-21,10.637898096495713,,-1.5092300804754544
2009-10-22,10.60081125948058,,-1.4538007023350064
2009-10-23,10.730056390305776,,-1.624073538583759
2009-10-26,10.606149058992354,,-1.7665495118378671
2009-10-27,10.692532172012337,,-1.865948979454235
2009-10-28,10.595101970423881,,-2.0963428747262536
2009-10-29,11.267714478806369,,-2.004307292752472
2009-10-30,10.804530408412539,,-2.3362598385763933
2009-11-02,10.574827438990543,,-2.344186354066735
2009-11-03,10.515943144329597,,-2.360389413205821
2009-11-04,10.78061039165692,,-2.2938025687856634
2009-11-05,10.54651810122249,,-2.224737514530817
2009-11-06,10.334614749758186,,-2.2332870352602674
2009-11-09,10.646569318710132,,-2.027022893882735
2009-11-10,10.652819223257271,,-2.0351351988490696
2009-11-11,10.705709624009785,,-1.690902741258793
2009-11-12,10.30009813023649,,-1.6382669090792779
2009-11-13,10.29334414691283,,-1.475967096155617
2009-11-16,10.71059097119309,,-1.5619419557561187
2009-11-17,10.787994890970198,,-1.7193770113512197
2009-11-18,11.139884694919244,,-1.6736391870005973
2009-11-19,10.904967570496481,,-1.7746743936691511
2009-11-20,10.72749880896906,,-1.9164365614930179
2009-11-23,10.811481429499036,,-1.8303924587494746
2009-11-24,10.539502923808008,,-1.9150269292473876
2009-11-25,10.71943114013456,,-1.7129638813493053
2009-11-27,10.555912831167213,,-1.8961801744709739
2009-11-30,10.65126067570854,,-1.822780244763511
2009-12-01,10.565302423490518,,-1.5962985374972982
2009-12-02,10.261699689913684,,-1.4397203886947874
2009-12-03,10.281374599655212,,-1.4521981591096633
2009-12-04,10.012223177989332,,-1.4694316642877459
2009-12-07,9.87499396008118,,-1.5028719306235283
2009-12-08,9.736361179436503,,-1.4770506636637482
2009-12-09,9.43036534475803,,-1.5102031741824673
2009-12-10,9.664577970121591,,-1.5417397747681139
2009-12-11,9.549901615583888,,-1.5895047847071408
2009-12-14,9.476898569389846,,-1.668408168186497
2009-12-15,9.644228267641019,,-1.7509469067169436
2009-12-16,9.766495321082157,,-1.6513990986437244
2009-12-17,9.693302880495924,,-1.9311407229876676
2009-12-18,9.917343831935943,,-1.8664307702642935
2009-12-21,10.132346645173861,,-1.7544353455260286
2009-12-22,10.096814952138855,,-1.6133266107895228
2009-12-23,10.160020155196769,,-1.5248607201885367
2009-12-24,10.272406620063478,,-1.4292800581273357
2009-12-28,10.280173293247774,,-1.369110585480715
