,S&P GSCI
2011-08-25,12.35339811918692
2011-08-26,12.402686521700069
2011-08-29,12.43571744625207
2011-08-30,12.655445696766954
2011-08-31,12.686227005084504
2011-09-01,12.501141287238049
2011-09-02,12.363778753958798
2011-09-06,12.248767053365018
2011-09-07,12.49764808569942
2011-09-08,12.546344990794744
2011-09-09,12.558839664817011
2011-09-12,12.521799281738177
2011-09-13,12.452710884139751
2011-09-14,12.515508172458944
2011-09-15,12.515387156610913
2011-09-16,12.366604219404852
2011-09-19,12.192792484350768
2011-09-20,12.220605922339356
2011-09-21,12.135055258156878
2011-09-22,11.73467945758986
2011-09-23,11.432327168134826
2011-09-26,11.540256573823893
2011-09-27,11.858476638941529
2011-09-28,11.459431291115617
2011-09-29,11.378488370708318
2011-09-30,11.16837174039713
2011-10-03,10.780998009776122
2011-10-04,10.92323915461657
2011-10-05,11.576936995178633
2011-10-06,11.90087477858215
2011-10-07,12.079176791635081
2011-10-10,13.34386946715016
2011-10-11,13.475344687553005
2011-10-12,13.327328851802879
2011-10-13,13.21989082025594
2011-10-14,13.379617828763802
2011-10-17,13.366774580604535
2011-10-18,13.574844810293229
2011-10-19,13.507719081644876
2011-10-20,13.288165696139487
2011-10-21,13.490594165385472
2011-10-24,13.720049297359171
2011-10-25,13.723251742275288
2011-10-26,13.44598904808536
2011-10-27,13.567926302209132
2011-10-28,13.798692526149669
2011-10-31,13.859629216299707
2011-11-01,13.711112208910103
2011-11-02,13.832670053975171
2011-11-03,14.10412561128398
2011-11-04,13.904387206312885
2011-11-07,14.032590703456371
2011-11-08,14.2382081608182
2011-11-09,13.85920141262944
2011-11-10,14.060098458370241
2011-11-11,14.117296223435915
2011-11-14,13.954732604406006
2011-11-15,14.15859666541217
2011-11-16,14.392196870941243
2011-11-17,14.279166577701542
2011-11-18,14.282350369352725
2011-11-21,14.330388902537328
2011-11-22,14.514817670473935
2011-11-23,14.226250086103631
2011-11-25,13.806455151542885
2011-11-28,13.639438264571302
2011-11-29,14.078215497306923
2011-11-30,13.914090075266472
2011-12-01,14.363482780278392
2011-12-02,15.054319160149943
2011-12-05,14.825903957310626
2011-12-06,14.795920621046754
2011-12-07,14.47136905770774
2011-12-08,14.396019877105747
2011-12-09,14.361274357793686
2011-12-12,14.394859901782997
2011-12-13,14.329104139109837
2011-12-14,14.030062571438151
2011-12-15,14.120582886574917
2011-12-16,13.803169509143753
2011-12-19,13.725090540391328
2011-12-20,14.173769761301426
2011-12-21,14.361073086304854
2011-12-22,14.709900851225788
2011-12-23,14.588394322268282
2011-12-27,14.849284409965469
2011-12-28,14.725612295242474
2011-12-29,14.690841269815413
2011-12-30,14.695847235400294
2012-01-03,14.721140562956814
2012-01-04,14.827925321596824
2012-01-05,14.659366159429442
2012-01-06,14.619825770909166
2012-01-09,14.776117567569269
2012-01-10,14.714103709105796
2012-01-11,14.610785839687356
2012-01-12,14.128779737733343
2012-01-13,14.160076162972167
2012-01-17,14.356040993770502
2012-01-18,14.537382804229026
2012-01-19,14.309403858908265
2012-01-20,14.36650768041503
2012-01-23,14.142785879678366
2012-01-24,14.147166441475179
2012-01-25,14.227243225944886
2012-01-26,14.533264163918602
2012-01-27,14.492156297747115
2012-01-30,14.485431570570162
2012-01-31,14.69329823878278
2012-02-01,14.66123413526561
2012-02-02,14.526761088027197
2012-02-03,14.97568532778908
2012-02-06,15.049555333501829
2012-02-07,15.134665252994761
2012-02-08,15.025520391970758
2012-02-09,15.054645236980303
2012-02-10,14.866594760901553
2012-02-13,15.040459675576457
2012-02-14,15.129658832268333
2012-02-15,15.3581438623009
2012-02-16,15.249506008303172
2012-02-17,14.995394454649325
2012-02-21,15.290449336173273
2012-02-22,15.363419205117989
2012-02-23,15.53626550577787
2012-02-24,15.64396434211892
2012-02-27,15.336258519706792
2012-02-28,14.85319359767363
2012-02-29,14.940942405009562
2012-03-01,14.972453901167171
2012-03-02,14.879787983710857
2012-03-05,14.85400692307226
2012-03-06,14.797279506982797
2012-03-07,15.050874311487217
2012-03-08,14.987149283238876
2012-03-09,15.045090580424848
2012-03-12,15.237503509664108
2012-03-13,15.070895412562702
2012-03-14,14.9212681472084
2012-03-15,14.783814841736653
2012-03-16,14.696162495546282
2012-03-19,14.67856557930476
2012-03-20,14.30216360920491
2012-03-21,14.283537347331542
2012-03-22,13.888543513115481
2012-03-23,13.964543420910536
2012-03-26,13.761732212639966
2012-03-27,13.771753238046358
2012-03-28,13.65033679493557
2012-03-29,13.358847272566354
2012-03-30,13.408805562147318
2012-04-02,13.40661728078192
2012-04-03,13.39763348983103
2012-04-04,13.27073286864271
2012-04-05,13.162282437461226
2012-04-09,13.208716735087854
2012-04-10,13.103251422110219
2012-04-11,13.106198094094367
2012-04-12,13.12454199579478
2012-04-13,12.98479156368777
2012-04-16,12.68802275642984
2012-04-17,12.442819716980136
2012-04-18,12.466897242531738
2012-04-19,12.744247127201348
2012-04-20,12.97698187184293
2012-04-23,12.833696484635993
2012-04-24,13.019746684469148
2012-04-25,13.048473816830564
2012-04-26,13.440227027831053
2012-04-27,13.880663997699273
2012-04-30,13.509635186074732
2012-05-01,13.48848726074754
2012-05-02,13.046588175736673
2012-05-03,12.855218352753361
2012-05-04,12.560184445184031
2012-05-07,12.53163947202025
2012-05-08,12.429491543087213
2012-05-09,12.555110945293713
2012-05-10,12.508191640791399
2012-05-11,12.321908855295117
2012-05-14,12.060414816520337
2012-05-15,12.031612018766257
2012-05-16,12.14033838964057
2012-05-17,12.255411556948026
2012-05-18,12.144816636306977
2012-05-21,12.331856473073334
2012-05-22,12.138435455897344
2012-05-23,11.714976684458955
2012-05-24,11.8051549280346
2012-05-25,11.725546618591709
2012-05-29,11.569581975183919
2012-05-30,11.110094048471431
2012-05-31,11.276116451865882
2012-06-01,11.037808862621956
2012-06-04,11.114612592943708
2012-06-05,11.14457731846259
2012-06-06,11.526673350858374
2012-06-07,11.495359022802853
2012-06-08,11.453969826573584
2012-06-11,11.427928689089907
2012-06-12,11.548168851024343
2012-06-13,11.309824122682777
2012-06-14,11.763436821674444
2012-06-15,11.6075295838707
2012-06-18,11.602916438520205
2012-06-19,11.639003306416985
2012-06-20,11.514042823044889
2012-06-21,11.228726387638698
2012-06-22,11.348296516527512
2012-06-25,11.534744963342103
2012-06-26,11.663904388531199
2012-06-27,11.610190118612973
2012-06-28,11.085566844059546
2012-06-29,11.615855757607418
2012-07-02,11.528220241471242
2012-07-03,12.060375351879316
2012-07-05,12.123117456764309
2012-07-06,11.79525815346505
2012-07-09,12.058120827704787
2012-07-10,11.62946235053166
2012-07-11,11.762496988677796
2012-07-12,11.78863364421565
2012-07-13,11.856350615489752
2012-07-16,12.014682290613088
2012-07-17,11.991452969354931
2012-07-18,12.13257252119333
2012-07-19,12.40732753142575
2012-07-20,12.329979731584118
2012-07-23,12.278350710273966
2012-07-24,12.164214919963534
2012-07-25,12.082936021174806
2012-07-26,12.09909821426207
2012-07-27,12.115165717381181
2012-07-30,12.231083308648616
2012-07-31,11.873698129166343
2012-08-01,11.889490390043477
2012-08-02,11.781583228465365
2012-08-03,12.064439541832318
2012-08-06,12.318476875749894
2012-08-07,12.618905136025838
2012-08-08,12.477855525979997
2012-08-09,12.592768916966124
2012-08-10,12.568557516678936
2012-08-13,12.581180589426943
2012-08-14,12.404478657726559
2012-08-15,12.52781597952164
2012-08-16,12.793417760579384
2012-08-17,12.716944913952478
2012-08-20,12.885391927369838
2012-08-21,12.836593216385129
2012-08-22,13.00425149493465
2012-08-23,12.921258655565659
2012-08-24,12.783446495533157
2012-08-27,12.4665202767819
2012-08-28,12.443975363245062
2012-08-29,12.401954231503453
2012-08-30,12.111346823382906
2012-08-31,12.237821637114333
2012-09-04,12.140777561547832
2012-09-05,12.151449049334161
2012-09-06,12.075151039856124
2012-09-07,12.14132134262853
2012-09-10,12.205744908460803
2012-09-11,12.109887230879268
2012-09-12,12.206375079872878
2012-09-13,12.40563926321343
2012-09-14,12.471060753157648
2012-09-17,12.169872168528562
2012-09-18,12.319733402639233
2012-09-19,11.901401354954832
2012-09-20,11.700175630589627
2012-09-21,11.628635573891266
2012-09-24,11.380123224399918
2012-09-25,11.349540649107247
2012-09-26,11.215924011608891
2012-09-27,11.53133190846074
2012-09-28,11.417048028766263
2012-10-01,11.448645193522754
2012-10-02,11.48722595204379
2012-10-03,11.103131721083969
2012-10-04,11.40554113293215
2012-10-05,11.330320877347667
2012-10-08,11.1293850842483
2012-10-09,11.327640426033803
2012-10-10,11.35994285571984
2012-10-11,11.467167448513504
2012-10-12,11.306454738010064
2012-10-15,11.289124928987393
2012-10-16,11.231092468965919
2012-10-17,11.278314199870131
2012-10-18,11.561599416779655
2012-10-19,11.448956138961686
2012-10-22,11.28547423403461
2012-10-23,11.079763458170277
2012-10-24,11.047802623909408
2012-10-25,11.176911637330855
2012-10-26,11.049709599466585
2012-10-31,10.86900579673662
2012-11-01,10.851933808724311
2012-11-02,10.65908190913143
2012-11-05,10.679557377880311
2012-11-06,10.965424544375457
2012-11-07,10.985180583061528
2012-11-08,11.118728364277807
2012-11-09,11.156902038261363
2012-11-12,11.115302787006076
2012-11-13,11.326994743080544
2012-11-14,11.342934285688777
2012-11-15,11.39999131482201
2012-11-16,11.424143765078965
2012-11-19,11.583536877987633
2012-11-20,11.463890279785517
2012-11-21,11.625110937531268
2012-11-23,11.889161578576978
2012-11-26,11.949236291659382
2012-11-27,12.023821611950435
2012-11-28,11.949607161029817
2012-11-29,12.05317925377738
2012-11-30,12.086990710080059
2012-12-03,12.268288992170962
2012-12-04,12.12572147504205
2012-12-05,11.99310762853749
2012-12-06,11.556462188216354
2012-12-07,11.524870366432861
2012-12-10,11.367467301868261
2012-12-11,11.305620261368388
2012-12-12,11.298701762034224
