Date,S&P GSCI,GOLD,EUR-USD,MSCI World
1972-06-07,,65.15,,-0.0049586650753808
1972-06-08,,64.8,,-0.0024917196674065
1972-06-09,,62.8,,-0.003330570615828
1972-06-12,,61.5,,0.0008354728994592
1972-06-13,,61.9,,0.0025041353482575
1972-06-14,,61.7,,0.0049958241610668
1972-06-15,,61.3,,-0.0016569755865689
1972-06-16,,61.8,,-0.0008298628557766
1972-06-19,,61.5,,0.0008305521001144
1972-06-20,,61.45,,0.0033195147375841
1972-06-21,,61.55,,0.0016542344558976
1972-06-22,,62.0,,-0.0024772537253779
1972-06-23,,63.35,,-0.0016556669915895
1972-06-26,,63.7,,0.0232172726963892
1972-06-27,,63.1,,0.0008103603961473
1972-06-28,,64.3,,-0.0040485829959514
1972-06-29,,64.8,,-0.0016259914491234
1972-06-30,,64.95,,-0.0325732890927867
1972-07-03,,65.8,,0.0042087541006388
1972-07-04,,,,-0.0025146944181355
1972-07-05,,66.25,,0.0050420039842109
1972-07-06,,,,0.0075250964662314
1972-07-07,,65.55,,-0.0016597257115533
1972-07-10,,65.9,,-0.002493790890668
1972-07-11,,65.5,,-0.0033333460489909
1972-07-12,,65.35,,-0.0033444944062056
1972-07-13,,65.15,,-0.0025167401849308
1972-07-14,,65.25,,0.0025230901472947
1972-07-17,,65.8,,-0.0041946309798741
1972-07-18,,65.75,,-0.0008424471498907
1972-07-19,,,,0.0033726941907692
1972-07-20,,65.6,,-0.0016806466238838
1972-07-21,,65.3,,0.0042087541006388
1972-07-24,,65.5,,0.0075439553517355
1972-07-25,,65.8,,0.0
1972-07-26,,66.0,,0.0008319975545314
1972-07-27,,66.55,,-0.0016625484003576
1972-07-28,,68.45,,0.0008326267726193
1972-07-31,,68.6,,0.0024958657185905
1972-08-01,,69.6,,0.0074688923309453
1972-08-02,,70.3,,0.0057660373924539
1972-08-03,,69.3,,0.0065520316278084
1972-08-04,,68.8,,0.0032546909756927
1972-08-07,,67.8,,0.0
1972-08-08,,66.4,,0.0
1972-08-09,,65.45,,-0.0008110794893787
1972-08-10,,67.05,,0.0016234138197319
1972-08-11,,66.0,,0.0064829449957137
1972-08-14,,,,0.0032206242810586
1972-08-15,,66.05,,-0.0016051119638154
1972-08-16,,66.8,,-0.0016077538198029
1972-08-17,,66.75,,-0.0016102814263798
1972-08-18,,66.9,,0.0024193794496598
1972-08-21,,67.1,,-0.0008045543126332
1972-08-22,,67.5,,0.0040257649942485
1972-08-23,,67.35,,0.0
